Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| XML        |          7 |     71,620 |          6 |        368 |     71,994 |
| Markdown   |         29 |     47,180 |          0 |        274 |     47,454 |
| ShaderLab  |         48 |      7,801 |      1,440 |      1,992 |     11,233 |
| HLSL       |         22 |      2,884 |        340 |        383 |      3,607 |
| JSON       |         22 |      1,502 |          0 |          8 |      1,510 |
| PowerShell |         11 |        901 |        351 |        181 |      1,433 |
| YAML       |         11 |        566 |         39 |        152 |        757 |
| Properties |          1 |         58 |          0 |          1 |         59 |
| Python     |          1 |         20 |          6 |         12 |         38 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                          |        826 |    216,851 |     24,557 |     23,135 |    264,543 |
| . (Files)                                                                                                                                                                                                  |          3 |     46,613 |          0 |          2 |     46,615 |
| Assets                                                                                                                                                                                                     |        238 |    114,090 |      5,132 |     10,428 |    129,650 |
| Assets (Files)                                                                                                                                                                                             |          1 |         32 |          8 |          8 |         48 |
| Assets\BuildAssets                                                                                                                                                                                         |          1 |        111 |          4 |         15 |        130 |
| Assets\ComputeShaders                                                                                                                                                                                      |          7 |        888 |        116 |         96 |      1,100 |
| Assets\Data Binding Example                                                                                                                                                                                |         13 |        770 |        142 |        194 |      1,106 |
| Assets\Data Binding Example\Scripts                                                                                                                                                                        |         13 |        770 |        142 |        194 |      1,106 |
| Assets\InsprectorButton                                                                                                                                                                                    |          2 |         67 |          0 |         12 |         79 |
| Assets\InsprectorButton (Files)                                                                                                                                                                            |          1 |         13 |          0 |          3 |         16 |
| Assets\InsprectorButton\Editor                                                                                                                                                                             |          1 |         54 |          0 |          9 |         63 |
| Assets\Materials                                                                                                                                                                                           |          1 |         90 |         10 |         21 |        121 |
| Assets\Packages                                                                                                                                                                                            |          1 |     53,714 |          0 |         20 |     53,734 |
| Assets\Packages\MathNet.Numerics.5.0.0                                                                                                                                                                     |          1 |     53,714 |          0 |         20 |     53,734 |
| Assets\Packages\MathNet.Numerics.5.0.0\lib                                                                                                                                                                 |          1 |     53,714 |          0 |         20 |     53,734 |
| Assets\Packages\MathNet.Numerics.5.0.0\lib\netstandard2.0                                                                                                                                                  |          1 |     53,714 |          0 |         20 |     53,734 |
| Assets\Photon                                                                                                                                                                                              |         65 |     39,034 |      1,815 |      5,957 |     46,806 |
| Assets\Photon\Fusion                                                                                                                                                                                       |         54 |     30,331 |      1,548 |      4,455 |     36,334 |
| Assets\Photon\FusionAddressables                                                                                                                                                                           |          6 |        148 |         10 |         30 |        188 |
| Assets\Photon\FusionCodeGen                                                                                                                                                                                |          2 |      5,344 |        190 |      1,288 |      6,822 |
| Assets\Photon\Fusion\Assemblies                                                                                                                                                                            |          4 |     15,173 |          4 |        287 |     15,464 |
| Assets\Photon\Fusion\Resources                                                                                                                                                                             |          1 |        140 |          6 |         19 |        165 |
| Assets\Photon\Fusion\Scripts                                                                                                                                                                               |         49 |     15,018 |      1,538 |      4,149 |     20,705 |
| Assets\Photon\Fusion\Scripts (Files)                                                                                                                                                                       |          8 |      2,213 |        290 |        533 |      3,036 |
| Assets\Photon\Fusion\Scripts\Editor                                                                                                                                                                        |          5 |      9,377 |        616 |      2,628 |     12,621 |
| Assets\Photon\Fusion\Scripts\Editor (Files)                                                                                                                                                                |          3 |      9,158 |        604 |      2,568 |     12,330 |
| Assets\Photon\Fusion\Scripts\Editor\Windows                                                                                                                                                                |          2 |        219 |         12 |         60 |        291 |
| Assets\Photon\Fusion\Scripts\FusionStats                                                                                                                                                                   |          5 |      1,042 |         76 |        270 |      1,388 |
| Assets\Photon\Fusion\Scripts\Prototyping                                                                                                                                                                   |         28 |      2,218 |        527 |        684 |      3,429 |
| Assets\Photon\Fusion\Scripts\Prototyping (Files)                                                                                                                                                           |         12 |      1,490 |        318 |        427 |      2,235 |
| Assets\Photon\Fusion\Scripts\Prototyping\AreaOfInterest                                                                                                                                                    |          1 |         30 |         13 |          7 |         50 |
| Assets\Photon\Fusion\Scripts\Prototyping\Assistants                                                                                                                                                        |          2 |        215 |         84 |         81 |        380 |
| Assets\Photon\Fusion\Scripts\Prototyping\Editor                                                                                                                                                            |          1 |          0 |          1 |          0 |          1 |
| Assets\Photon\Fusion\Scripts\Prototyping\Materials                                                                                                                                                         |          2 |         44 |         18 |         21 |         83 |
| Assets\Photon\Fusion\Scripts\Prototyping\Prefabs                                                                                                                                                           |          1 |         23 |          0 |          9 |         32 |
| Assets\Photon\Fusion\Scripts\Prototyping\SpawnPoints                                                                                                                                                       |          6 |        290 |         79 |        111 |        480 |
| Assets\Photon\Fusion\Scripts\Prototyping\Utilities                                                                                                                                                         |          3 |        126 |         14 |         28 |        168 |
| Assets\Photon\Fusion\Scripts\Utilities                                                                                                                                                                     |          3 |        168 |         29 |         34 |        231 |
| Assets\Photon\PhotonLibs                                                                                                                                                                                   |          3 |      3,211 |         67 |        184 |      3,462 |
| Assets\Photon\PhotonLibs\WebSocket                                                                                                                                                                         |          2 |        495 |         66 |        124 |        685 |
| Assets\Photon\PhotonLibs\netstandard2.0                                                                                                                                                                    |          1 |      2,716 |          1 |         60 |      2,777 |
| Assets\Plugins                                                                                                                                                                                             |          1 |         17 |          1 |          1 |         19 |
| Assets\Plugins\Android                                                                                                                                                                                     |          1 |         17 |          1 |          1 |         19 |
| Assets\Resources                                                                                                                                                                                           |          8 |      1,470 |        181 |        152 |      1,803 |
| Assets\Resources\ComputeShaders                                                                                                                                                                            |          8 |      1,470 |        181 |        152 |      1,803 |
| Assets\Scripts                                                                                                                                                                                             |         59 |      9,767 |      1,578 |      1,594 |     12,939 |
| Assets\Scripts (Files)                                                                                                                                                                                     |          1 |        199 |          1 |         34 |        234 |
| Assets\Scripts\Command                                                                                                                                                                                     |          1 |        354 |         23 |         66 |        443 |
| Assets\Scripts\MRTK                                                                                                                                                                                        |         17 |        946 |        249 |        202 |      1,397 |
| Assets\Scripts\Menu                                                                                                                                                                                        |          5 |        601 |         15 |         91 |        707 |
| Assets\Scripts\Mutiplayer                                                                                                                                                                                  |          1 |         90 |         17 |         19 |        126 |
| Assets\Scripts\NeuronEditing                                                                                                                                                                               |          8 |      1,179 |        109 |        167 |      1,455 |
| Assets\Scripts\NeuronTracing                                                                                                                                                                               |         12 |      5,040 |        896 |        810 |      6,746 |
| Assets\Scripts\Utility                                                                                                                                                                                     |         10 |      1,051 |        220 |        153 |      1,424 |
| Assets\Scripts\Visualization                                                                                                                                                                               |          4 |        307 |         48 |         52 |        407 |
| Assets\Shaders                                                                                                                                                                                             |         23 |      2,451 |        351 |        477 |      3,279 |
| Assets\TextMesh Pro                                                                                                                                                                                        |         52 |      5,502 |        844 |      1,839 |      8,185 |
| Assets\TextMesh Pro\Examples & Extras                                                                                                                                                                      |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Examples & Extras\Scripts                                                                                                                                                              |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets\TextMesh Pro\Shaders                                                                                                                                                                                |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                                                                                                                |          1 |        155 |          0 |          2 |        157 |
| Assets\UX Theming Example                                                                                                                                                                                  |          4 |        177 |         82 |         42 |        301 |
| Assets\UX Theming Example\Scripts                                                                                                                                                                          |          2 |        146 |         69 |         32 |        247 |
| Assets\UX Theming Example\Themes                                                                                                                                                                           |          2 |         31 |         13 |         10 |         54 |
| MRTK3                                                                                                                                                                                                      |        578 |     55,136 |     19,425 |     12,699 |     87,260 |
| MRTK3\Pipelines                                                                                                                                                                                            |         19 |      1,304 |        362 |        297 |      1,963 |
| MRTK3\Pipelines (Files)                                                                                                                                                                                    |          3 |        153 |          9 |         50 |        212 |
| MRTK3\Pipelines\Config                                                                                                                                                                                     |          1 |          4 |          5 |          1 |         10 |
| MRTK3\Pipelines\Scripts                                                                                                                                                                                    |          7 |        735 |        323 |        143 |      1,201 |
| MRTK3\Pipelines\Templates                                                                                                                                                                                  |          7 |        409 |         25 |        101 |        535 |
| MRTK3\Pipelines\Templates (Files)                                                                                                                                                                          |          4 |        282 |         16 |         64 |        362 |
| MRTK3\Pipelines\Templates\Tasks                                                                                                                                                                            |          3 |        127 |          9 |         37 |        173 |
| MRTK3\Pipelines\UPM                                                                                                                                                                                        |          1 |          3 |          0 |          2 |          5 |
| MRTK3\Pipelines\UPM\Documentation~                                                                                                                                                                         |          1 |          3 |          0 |          2 |          5 |
| MRTK3\Tooling                                                                                                                                                                                              |          5 |        186 |         34 |         50 |        270 |
| MRTK3\Tooling (Files)                                                                                                                                                                                      |          2 |         69 |          7 |         25 |        101 |
| MRTK3\Tooling\Test                                                                                                                                                                                         |          3 |        117 |         27 |         25 |        169 |
| MRTK3\com.microsoft.mrtk.accessibility                                                                                                                                                                     |         19 |        813 |        431 |        241 |      1,485 |
| MRTK3\com.microsoft.mrtk.accessibility (Files)                                                                                                                                                             |          2 |         31 |          5 |          5 |         41 |
| MRTK3\com.microsoft.mrtk.accessibility\Documentation~                                                                                                                                                      |          1 |         18 |          0 |         12 |         30 |
| MRTK3\com.microsoft.mrtk.accessibility\Editor                                                                                                                                                              |          1 |          4 |          5 |          4 |         13 |
| MRTK3\com.microsoft.mrtk.accessibility\Subsystems                                                                                                                                                          |          5 |        340 |        227 |        109 |        676 |
| MRTK3\com.microsoft.mrtk.accessibility\Subsystems (Files)                                                                                                                                                  |          4 |        184 |        192 |         73 |        449 |
| MRTK3\com.microsoft.mrtk.accessibility\Subsystems\MRTK                                                                                                                                                     |          1 |        156 |         35 |         36 |        227 |
| MRTK3\com.microsoft.mrtk.accessibility\Tests                                                                                                                                                               |          2 |        174 |         38 |         39 |        251 |
| MRTK3\com.microsoft.mrtk.accessibility\Tests\Runtime                                                                                                                                                       |          2 |        174 |         38 |         39 |        251 |
| MRTK3\com.microsoft.mrtk.accessibility\Utilities                                                                                                                                                           |          8 |        246 |        156 |         72 |        474 |
| MRTK3\com.microsoft.mrtk.audio                                                                                                                                                                             |          8 |        311 |        202 |         90 |        603 |
| MRTK3\com.microsoft.mrtk.audio (Files)                                                                                                                                                                     |          2 |         27 |          5 |          4 |         36 |
| MRTK3\com.microsoft.mrtk.audio\Documentation~                                                                                                                                                              |          1 |          9 |          0 |          7 |         16 |
| MRTK3\com.microsoft.mrtk.audio\Effects                                                                                                                                                                     |          5 |        275 |        197 |         79 |        551 |
| MRTK3\com.microsoft.mrtk.core                                                                                                                                                                              |        134 |      8,269 |      3,859 |      2,053 |     14,181 |
| MRTK3\com.microsoft.mrtk.core (Files)                                                                                                                                                                      |          3 |         45 |          5 |         10 |         60 |
| MRTK3\com.microsoft.mrtk.core\Camera                                                                                                                                                                       |          2 |        188 |         61 |         41 |        290 |
| MRTK3\com.microsoft.mrtk.core\Configuration                                                                                                                                                                |          3 |         68 |         48 |         17 |        133 |
| MRTK3\com.microsoft.mrtk.core\Data                                                                                                                                                                         |          6 |        111 |        113 |         38 |        262 |
| MRTK3\com.microsoft.mrtk.core\Data\Binding Templates                                                                                                                                                       |          3 |         88 |         69 |         31 |        188 |
| MRTK3\com.microsoft.mrtk.core\Data\Binding Templates (Files)                                                                                                                                               |          1 |         16 |          8 |          5 |         29 |
| MRTK3\com.microsoft.mrtk.core\Data\Binding Templates\Profiles                                                                                                                                              |          2 |         72 |         61 |         26 |        159 |
| MRTK3\com.microsoft.mrtk.core\Data\Interfaces                                                                                                                                                              |          3 |         23 |         44 |          7 |         74 |
| MRTK3\com.microsoft.mrtk.core\Editor                                                                                                                                                                       |         25 |      2,646 |        692 |        597 |      3,935 |
| MRTK3\com.microsoft.mrtk.core\Editor (Files)                                                                                                                                                               |          9 |        694 |        127 |        131 |        952 |
| MRTK3\com.microsoft.mrtk.core\Editor\Editors                                                                                                                                                               |          4 |        649 |        174 |        165 |        988 |
| MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers                                                                                                                                                       |          7 |        535 |         80 |        110 |        725 |
| MRTK3\com.microsoft.mrtk.core\Editor\Utilities                                                                                                                                                             |          5 |        768 |        311 |        191 |      1,270 |
| MRTK3\com.microsoft.mrtk.core\Interactables                                                                                                                                                                |          3 |        439 |        198 |        139 |        776 |
| MRTK3\com.microsoft.mrtk.core\Interactors                                                                                                                                                                  |         10 |         95 |        133 |         37 |        265 |
| MRTK3\com.microsoft.mrtk.core\Subsystems                                                                                                                                                                   |         23 |        822 |        683 |        283 |      1,788 |
| MRTK3\com.microsoft.mrtk.core\Subsystems (Files)                                                                                                                                                           |          7 |        373 |        206 |        116 |        695 |
| MRTK3\com.microsoft.mrtk.core\Subsystems\Hands                                                                                                                                                             |          5 |        140 |        157 |         51 |        348 |
| MRTK3\com.microsoft.mrtk.core\Subsystems\Speech                                                                                                                                                            |         11 |        309 |        320 |        116 |        745 |
| MRTK3\com.microsoft.mrtk.core\Tests                                                                                                                                                                        |         10 |        440 |        141 |        111 |        692 |
| MRTK3\com.microsoft.mrtk.core\Tests\Editor                                                                                                                                                                 |          2 |         16 |          7 |          7 |         30 |
| MRTK3\com.microsoft.mrtk.core\Tests\Runtime                                                                                                                                                                |          3 |        208 |         14 |         58 |        280 |
| MRTK3\com.microsoft.mrtk.core\Tests\TestUtilities                                                                                                                                                          |          5 |        216 |        120 |         46 |        382 |
| MRTK3\com.microsoft.mrtk.core\Utilities                                                                                                                                                                    |         49 |      3,415 |      1,785 |        780 |      5,980 |
| MRTK3\com.microsoft.mrtk.core\Utilities (Files)                                                                                                                                                            |         28 |      2,061 |      1,091 |        492 |      3,644 |
| MRTK3\com.microsoft.mrtk.core\Utilities\Attributes                                                                                                                                                         |          9 |        153 |        141 |         41 |        335 |
| MRTK3\com.microsoft.mrtk.core\Utilities\Extensions                                                                                                                                                         |         12 |      1,201 |        553 |        247 |      2,001 |
| MRTK3\com.microsoft.mrtk.data                                                                                                                                                                              |         64 |      6,137 |      2,890 |      1,391 |     10,418 |
| MRTK3\com.microsoft.mrtk.data (Files)                                                                                                                                                                      |          3 |         45 |          5 |         10 |         60 |
| MRTK3\com.microsoft.mrtk.data\Documentation~                                                                                                                                                               |          1 |        237 |          0 |        102 |        339 |
| MRTK3\com.microsoft.mrtk.data\Editor                                                                                                                                                                       |          3 |         42 |         11 |         14 |         67 |
| MRTK3\com.microsoft.mrtk.data\Editor (Files)                                                                                                                                                               |          1 |          4 |          5 |          4 |         13 |
| MRTK3\com.microsoft.mrtk.data\Editor\Inspectors                                                                                                                                                            |          2 |         38 |          6 |         10 |         54 |
| MRTK3\com.microsoft.mrtk.data\Runtime                                                                                                                                                                      |         57 |      5,813 |      2,874 |      1,265 |      9,952 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts                                                                                                                                                              |         57 |      5,813 |      2,874 |      1,265 |      9,952 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\Binding Profiles                                                                                                                                             |          1 |         39 |          7 |          5 |         51 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\DataConsumers                                                                                                                                                |         16 |      2,073 |        798 |        438 |      3,309 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\DataControllers                                                                                                                                              |          1 |          9 |         18 |          3 |         30 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\DataSources                                                                                                                                                  |         10 |      1,447 |        377 |        273 |      2,097 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\Helper                                                                                                                                                       |         14 |      1,157 |        473 |        255 |      1,885 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\Interfaces                                                                                                                                                   |         12 |        182 |        952 |        117 |      1,251 |
| MRTK3\com.microsoft.mrtk.data\Runtime\Scripts\ItemPlacers                                                                                                                                                  |          3 |        906 |        249 |        174 |      1,329 |
| MRTK3\com.microsoft.mrtk.diagnostics                                                                                                                                                                       |         14 |        396 |        218 |        132 |        746 |
| MRTK3\com.microsoft.mrtk.diagnostics (Files)                                                                                                                                                               |          3 |         42 |          5 |          9 |         56 |
| MRTK3\com.microsoft.mrtk.diagnostics\Subsystems                                                                                                                                                            |          4 |        217 |        165 |         78 |        460 |
| MRTK3\com.microsoft.mrtk.diagnostics\Subsystems (Files)                                                                                                                                                    |          3 |        120 |        127 |         50 |        297 |
| MRTK3\com.microsoft.mrtk.diagnostics\Subsystems\MRTKSubsystems                                                                                                                                             |          1 |         97 |         38 |         28 |        163 |
| MRTK3\com.microsoft.mrtk.diagnostics\Tests                                                                                                                                                                 |          4 |         33 |         14 |         14 |         61 |
| MRTK3\com.microsoft.mrtk.diagnostics\Tests\Editor                                                                                                                                                          |          2 |         16 |          7 |          7 |         30 |
| MRTK3\com.microsoft.mrtk.diagnostics\Tests\Runtime                                                                                                                                                         |          2 |         17 |          7 |          7 |         31 |
| MRTK3\com.microsoft.mrtk.diagnostics\Utilities                                                                                                                                                             |          1 |         18 |          8 |          3 |         29 |
| MRTK3\com.microsoft.mrtk.diagnostics\Visualizers                                                                                                                                                           |          2 |         86 |         26 |         28 |        140 |
| MRTK3\com.microsoft.mrtk.extendedassets                                                                                                                                                                    |          2 |         37 |          0 |          5 |         42 |
| MRTK3\com.microsoft.mrtk.input                                                                                                                                                                             |        104 |     14,594 |      3,614 |      2,548 |     20,756 |
| MRTK3\com.microsoft.mrtk.input (Files)                                                                                                                                                                     |          3 |         49 |          5 |         10 |         64 |
| MRTK3\com.microsoft.mrtk.input\Controllers                                                                                                                                                                 |          3 |        216 |         79 |         59 |        354 |
| MRTK3\com.microsoft.mrtk.input\Editor                                                                                                                                                                      |          8 |        832 |        100 |        129 |      1,061 |
| MRTK3\com.microsoft.mrtk.input\Editor (Files)                                                                                                                                                              |          2 |         98 |         11 |         12 |        121 |
| MRTK3\com.microsoft.mrtk.input\Editor\Inspectors                                                                                                                                                           |          6 |        734 |         89 |        117 |        940 |
| MRTK3\com.microsoft.mrtk.input\InteractionModes                                                                                                                                                            |          8 |        599 |        201 |        142 |        942 |
| MRTK3\com.microsoft.mrtk.input\Interactors                                                                                                                                                                 |         22 |      2,624 |        875 |        685 |      4,184 |
| MRTK3\com.microsoft.mrtk.input\Interactors (Files)                                                                                                                                                         |          2 |        154 |         58 |         30 |        242 |
| MRTK3\com.microsoft.mrtk.input\Interactors\Gaze                                                                                                                                                            |          2 |        312 |        102 |         87 |        501 |
| MRTK3\com.microsoft.mrtk.input\Interactors\GazePinch                                                                                                                                                       |          1 |        226 |        138 |         74 |        438 |
| MRTK3\com.microsoft.mrtk.input\Interactors\Grab                                                                                                                                                            |          1 |         18 |         14 |          5 |         37 |
| MRTK3\com.microsoft.mrtk.input\Interactors\InteractorVisuals                                                                                                                                               |         13 |      1,500 |        418 |        387 |      2,305 |
| MRTK3\com.microsoft.mrtk.input\Interactors\InteractorVisuals (Files)                                                                                                                                       |          8 |      1,006 |        264 |        258 |      1,528 |
